extracted_path,loc_x,loc_y,displacement_mm,force_n,session
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00016.jpg",-140,-10,0.3563,0.004,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00017.jpg",-140,-10,0.3788,0.004,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00018.jpg",-140,-10,0.4007,0.004,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00019.jpg",-140,-10,0.4225,0.004,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00020.jpg",-140,-10,0.4448,0.005,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00021.jpg",-140,-10,0.4667,0.005,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00022.jpg",-140,-10,0.4885,0.006,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00023.jpg",-140,-10,0.5107,0.005,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00024.jpg",-140,-10,0.5328,0.006,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00025.jpg",-140,-10,0.5548,0.006,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00026.jpg",-140,-10,0.5767,0.007,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00027.jpg",-140,-10,0.5988,0.006,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00028.jpg",-140,-10,0.6208,0.007,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00029.jpg",-140,-10,0.6428,0.007,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00030.jpg",-140,-10,0.6647,0.007,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00031.jpg",-140,-10,0.6868,0.008,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00032.jpg",-140,-10,0.7088,0.009,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00033.jpg",-140,-10,0.7308,0.008,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00034.jpg",-140,-10,0.7523,0.01,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00035.jpg",-140,-10,0.7752,0.01,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00036.jpg",-140,-10,0.7968,0.01,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00037.jpg",-140,-10,0.8188,0.01,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00038.jpg",-140,-10,0.8408,0.011,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00039.jpg",-140,-10,0.863,0.011,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00040.jpg",-140,-10,0.8847,0.011,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00041.jpg",-140,-10,0.9068,0.012,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00042.jpg",-140,-10,0.9287,0.011,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00043.jpg",-140,-10,0.951,0.013,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00044.jpg",-140,-10,0.973,0.014,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00045.jpg",-140,-10,1.0,0.014,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00046.jpg",-140,-10,1.0222,0.013,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00047.jpg",-140,-10,1.0443,0.014,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00048.jpg",-140,-10,1.0662,0.015,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00049.jpg",-140,-10,1.0883,0.015,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00050.jpg",-140,-10,1.1107,0.016,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00051.jpg",-140,-10,1.1325,0.017,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00052.jpg",-140,-10,1.1545,0.017,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00053.jpg",-140,-10,1.1765,0.017,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00054.jpg",-140,-10,1.1983,0.018,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00055.jpg",-140,-10,1.2205,0.018,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00056.jpg",-140,-10,1.2422,0.019,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00057.jpg",-140,-10,1.2638,0.018,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00058.jpg",-140,-10,1.2863,0.02,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00059.jpg",-140,-10,1.3087,0.02,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00060.jpg",-140,-10,1.3305,0.02,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00061.jpg",-140,-10,1.3525,0.02,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00062.jpg",-140,-10,1.3747,0.021,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00063.jpg",-140,-10,1.396,0.021,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00064.jpg",-140,-10,1.4185,0.022,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00065.jpg",-140,-10,1.44,0.022,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00066.jpg",-140,-10,1.4627,0.022,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00067.jpg",-140,-10,1.4848,0.024,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00068.jpg",-140,-10,1.5067,0.024,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00069.jpg",-140,-10,1.5283,0.023,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00070.jpg",-140,-10,1.5503,0.024,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00071.jpg",-140,-10,1.5722,0.025,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00072.jpg",-140,-10,1.5947,0.026,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00073.jpg",-140,-10,1.6168,0.027,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00074.jpg",-140,-10,1.6383,0.026,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00075.jpg",-140,-10,1.6603,0.028,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00076.jpg",-140,-10,1.6823,0.028,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00077.jpg",-140,-10,1.7047,0.028,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00078.jpg",-140,-10,1.7262,0.029,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00079.jpg",-140,-10,1.7483,0.03,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00080.jpg",-140,-10,1.7705,0.03,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00081.jpg",-140,-10,1.7927,0.03,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00082.jpg",-140,-10,1.8147,0.031,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00083.jpg",-140,-10,1.8365,0.032,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00084.jpg",-140,-10,1.8635,0.032,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00085.jpg",-140,-10,1.8858,0.033,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00086.jpg",-140,-10,1.9077,0.032,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00087.jpg",-140,-10,1.9298,0.034,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00088.jpg",-140,-10,1.9522,0.034,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00089.jpg",-140,-10,1.9738,0.034,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00090.jpg",-140,-10,1.9957,0.036,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00091.jpg",-140,-10,2.0178,0.036,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00092.jpg",-140,-10,2.0395,0.037,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00093.jpg",-140,-10,2.0617,0.038,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00094.jpg",-140,-10,2.0835,0.04,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00095.jpg",-140,-10,2.1058,0.039,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00096.jpg",-140,-10,2.1277,0.04,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00097.jpg",-140,-10,2.15,0.041,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00098.jpg",-140,-10,2.1717,0.041,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00099.jpg",-140,-10,2.1938,0.041,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00100.jpg",-140,-10,2.2157,0.042,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00101.jpg",-140,-10,2.2375,0.042,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00102.jpg",-140,-10,2.2595,0.042,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00103.jpg",-140,-10,2.2818,0.043,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00104.jpg",-140,-10,2.3038,0.043,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00105.jpg",-140,-10,2.3257,0.044,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00106.jpg",-140,-10,2.3478,0.045,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00107.jpg",-140,-10,2.3698,0.046,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00108.jpg",-140,-10,2.3915,0.047,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00109.jpg",-140,-10,2.4137,0.048,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00110.jpg",-140,-10,2.436,0.048,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00111.jpg",-140,-10,2.4578,0.049,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00112.jpg",-140,-10,2.48,0.05,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00113.jpg",-140,-10,2.5018,0.05,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00114.jpg",-140,-10,2.5235,0.05,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00115.jpg",-140,-10,2.5458,0.051,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00116.jpg",-140,-10,2.5677,0.052,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00117.jpg",-140,-10,2.59,0.052,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00118.jpg",-140,-10,2.6118,0.053,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00119.jpg",-140,-10,2.6338,0.053,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00120.jpg",-140,-10,2.656,0.052,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00121.jpg",-140,-10,2.6775,0.054,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00122.jpg",-140,-10,2.7052,0.056,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00123.jpg",-140,-10,2.727,0.057,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00124.jpg",-140,-10,2.7495,0.057,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00125.jpg",-140,-10,2.7713,0.058,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00126.jpg",-140,-10,2.7935,0.059,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00127.jpg",-140,-10,2.8153,0.059,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00128.jpg",-140,-10,2.8373,0.061,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00129.jpg",-140,-10,2.8593,0.061,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00130.jpg",-140,-10,2.8817,0.062,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00131.jpg",-140,-10,2.9033,0.062,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00132.jpg",-140,-10,2.9255,0.064,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00133.jpg",-140,-10,2.9477,0.064,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00134.jpg",-140,-10,2.9693,0.065,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00135.jpg",-140,-10,2.9915,0.066,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00136.jpg",-140,-10,3.0137,0.066,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00137.jpg",-140,-10,3.0355,0.067,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00138.jpg",-140,-10,3.0577,0.068,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00139.jpg",-140,-10,3.0793,0.069,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00140.jpg",-140,-10,3.1013,0.07,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00141.jpg",-140,-10,3.1235,0.07,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00142.jpg",-140,-10,3.1457,0.07,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00143.jpg",-140,-10,3.1678,0.072,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00144.jpg",-140,-10,3.1897,0.073,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00145.jpg",-140,-10,3.2118,0.073,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00146.jpg",-140,-10,3.2327,0.074,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00147.jpg",-140,-10,3.2553,0.076,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00148.jpg",-140,-10,3.2777,0.075,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00149.jpg",-140,-10,3.2998,0.076,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00150.jpg",-140,-10,3.3217,0.078,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00151.jpg",-140,-10,3.3438,0.078,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00152.jpg",-140,-10,3.3652,0.079,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00153.jpg",-140,-10,3.3873,0.081,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00154.jpg",-140,-10,3.4088,0.081,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00155.jpg",-140,-10,3.4317,0.082,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00156.jpg",-140,-10,3.4535,0.082,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00157.jpg",-140,-10,3.4757,0.083,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00158.jpg",-140,-10,3.4975,0.083,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00159.jpg",-140,-10,3.5193,0.085,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00160.jpg",-140,-10,3.5413,0.087,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00161.jpg",-140,-10,3.5685,0.088,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00162.jpg",-140,-10,3.5905,0.089,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00163.jpg",-140,-10,3.613,0.089,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00164.jpg",-140,-10,3.6347,0.091,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00165.jpg",-140,-10,3.6565,0.091,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00166.jpg",-140,-10,3.6785,0.092,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00167.jpg",-140,-10,3.7008,0.092,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00168.jpg",-140,-10,3.7227,0.093,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00169.jpg",-140,-10,3.7443,0.095,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00170.jpg",-140,-10,3.7665,0.095,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00171.jpg",-140,-10,3.7888,0.096,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00172.jpg",-140,-10,3.811,0.098,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00173.jpg",-140,-10,3.8328,0.099,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00174.jpg",-140,-10,3.8548,0.099,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00175.jpg",-140,-10,3.8767,0.101,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00176.jpg",-140,-10,3.8988,0.101,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00177.jpg",-140,-10,3.9208,0.102,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00178.jpg",-140,-10,3.943,0.103,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00179.jpg",-140,-10,3.965,0.105,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00180.jpg",-140,-10,3.9867,0.105,"(-140, -10)"
